Category,Item,Plan Value,Model Value,Status,Notes
,,,,
AUDIT VERSION,,,,
Meta,Model rebuild,Rev S construction set (27-01-2026),Full rebuild 2026-07-10: L-shape footprints + skillion roofs + walkable interiors + first-person mode,OK,"Sheets used: p7/p8/p18 (LGF), p9/p19 (GF), p10/p20 (FF), p11-p14+p17 (elevations/sections), p15 (roof plan), p3 (site). Rev U CC set (17-04-25, DWG only) noted but not machine-readable here; Rev S remains source of truth per GOAL.md"
,,,,
FLOOR LEVELS,,,,
Level,Lower Floor RL,28.890 (Y=0 datum),Y=0,OK,Datum correctly set
Level,Lower Floor Ceiling RL,31.890 (Y=3.0),Y=3.0,OK,
Level,Ground Floor RL,32.340 (Y=3.45),Y=3.45,OK,
Level,Ground Floor Ceiling RL,35.090 (Y=6.2),Y=6.2,OK,
Level,First Floor RL,35.540 (Y=6.65),Y=6.65,OK,
Level,First Floor Ceiling RL,38.140 (Y=9.25),Y=9.25,OK,
Level,Finished Ridge RL,38.970 (Y=10.08),Y=10.08 at street edge of main skillion,OK,"FIXED: main roof is a 5-deg skillion HIGH at the street edge (RL 38.970) falling toward the garden, per elevations + sections (not a symmetric pitched roof)"
Level,Garage SFL,32.254 (86mm stepdown),Y=3.364,OK,
Level,Porch SFL,32.254 (86mm stepdown),Y=3.364,OK,
Level,Alfresco SFL,28.804 (86mm stepdown),Y=-0.086,OK,
Level,Front balcony SFL,35.454,Y=6.564,OK,
Level,Rear balcony SFL,35.390,Y=6.50,OK,
,,,,
FOOTPRINTS,,,,
Area,Lower floor L-shape,191.4 m2 (12010 x 18710 minus alfresco + stair lightwell notch + east recess),"L-shape modelled: alfresco void SW (6350x4000), west notch at stair (2640x2530), east face recess 405 for garden 7325",OK,"FIXED: was a full 224.7 m2 rectangle"
Area,Alfresco / courtyard,28.6 m2 covered outdoor room SW + open courtyard void above (vergola 6655x3075),"Double-height space: open garden edge (970 pier + 5610 clear), D3/D2 stackers, VERGOLA AT THE TOP of the void (GF-roof line) so the GF reads as a courtyard between Master (W13) and Bed2 (W14)",OK,"FIXED twice: was merged into the box; then vergola was wrongly at LGF ceiling — now at the void top per GF plan/roof plan"
Area,Ground floor,163.0 m2 + garage 46.2 + porch 2.8,"12010 x 21020 envelope; garden-west void over alfresco (GF wall inset 3000 on west half); garage volume NW (5920x6135, 86 stepdown) with workshop (2530x2530); porch recess 1260 wide",OK,"FIXED: was a full 252.3 m2 rectangle with no garage volume"
Area,First floor,65.9 m2 (8260 x 11570 envelope incl balconies),"FF box x -3.345..+4.915 (2660 off GF west face), z +0.095..+11.665; enclosed area minus front loggia + rear balcony + stair void",OK,"FIXED: was a 93.9 m2 rectangle; wall thickness now 185 EPS (was 270)"
Feature,Front balcony,6.5 m2 at street facade,"Recessed loggia 4.57 x 1.29 behind the Axon facade line, glass balustrade, D6 stacker",OK,
Feature,Rear balcony,15.6 m2 garden end east,"4.85 x 3.665 + L-return west (per FF slab plan stagger), glass balustrade + east privacy screen, roof over",OK,
,,,,
ROOFS,,,,
Roof,Main roof form,5-deg skillion; ridge RL 38.970 at street; 600 eave o/h,Sloped box high at z=+11.97 (Y10.08) falling to garden; Monument fascias; gutter at low edge,OK,"FIXED: previous flat slab at Y9.325"
Roof,GF garden roof,5-deg skillion over GF garden zone tucking under FF; 600 o/h,Two planes (east of alfresco void full-depth; west part from bed2 wall); fascia + gutters at garden edges,OK,
Roof,Side strips,2-deg planes + box gutters flanking FF where GF is wider,Modelled both sides with dark box-gutter strips,OK,
Roof,Parapets,RL 35.890 (800 above GF ceiling) both long sides + street returns,Y7.0 parapets with Surfmist capping,OK,
